primary_genre,top_10,Sum of potential_profit
Food & Drink,Domino's Pizza USA,5940000
Games,aa,5400000
Games,Cytus,5940000
Games,"Egg, Inc.",5940000
Games,Geometry Dash Lite,5940000
Games,PewDiePie's Tuber Simulator,5940000
Health & Fitness,The EO Bar,5940000
News,The Guardian,5940000
Productivity,Adobe Illustrator Draw,5400000
Shopping,ASOS,5940000
